date,date_block_num,shop_id,item_id,item_price,item_cnt_day
2013-01-01,189680,2669060,917353993,44698140.7400001,87434.0
2013-02-01,238819,2877995,965597361,49293005.79999971,95012.0
2013-03-01,299353,3182255,1008506904,49259602.979999654,96931.0
2013-04-01,319213,2765163,866966018,41774651.91999991,82612.0
2013-05-01,359351,2665978,832586725,41138782.53999988,80647.0
2013-06-01,435033,2839049,896311995,43085954.32999949,86215.0
2013-07-01,541649,3170073,1004547717,46506148.55999963,94924.0
2013-08-01,588632,3118237,961366715,47110228.64999969,93755.0
2013-09-01,561575,2753115,859703238,43094340.27000006,83210.0
2013-10-01,593486,2653977,841613695,41186609.770000026,80229.0
2013-11-01,619254,2512983,800085486,40908564.119999975,76047.0
2013-12-01,1081756,3829828,1204866845,66711037.129999444,116008.0
2014-01-01,1001387,2384606,744510915,39487603.18999966,71282.0
2014-02-01,1060029,2441855,745596507,41239346.340000026,73100.0
2014-03-01,1073453,2387726,740395426,39153282.820000015,70752.0
2014-04-01,1043658,2217051,701817908,36231891.639999755,65570.0
2014-05-01,1116400,2286194,710911240,37109498.319999844,67887.0
2014-06-01,1181977,2336167,724309629,37326175.099999785,69072.0
2014-07-01,1205258,2312484,717113323,37060621.66000001,68288.0
2014-08-01,1374787,2579673,780283392,42064861.590000056,75779.0
2014-09-01,1152430,2096198,644449412,35679074.24999995,61576.0
2014-10-01,1167048,2031230,637858232,34947054.28999997,60124.0
2014-11-01,1291936,2170146,693757458,37541030.55,64619.0
2014-12-01,2124688,3341342,1059049953,65076634.89999999,99332.0
2015-01-01,1294141,1711773,553209920,32454946.149999797,51091.0
2015-02-01,1393300,1807740,577275170,34752468.36999995,53983.0
2015-03-01,1342951,1699886,551301963,31353732.749999907,50364.0
2015-04-01,1190598,1422170,477392471,27182413.26000002,43509.0
2015-05-01,1250385,1473068,473088341,29555923.399999928,44821.0
2015-06-01,1264405,1456774,472124879,28892396.609999944,44332.0
2015-07-01,1343751,1532477,506285837,29025858.58000037,46343.0
2015-08-01,1438942,1597146,497313130,30592862.490000036,48260.0
2015-09-01,1113215,1204920,397986714,23798966.340000022,36686.0
2015-10-01,1277446,1337554,454864376,26156226.330000103,41016.0
2015-11-01,479609,557672,181743271,10985531.98000001,16846.0
2015-12-01,426343,495196,162076675,9572954.100000003,14963.0
